512		# total colors
16		# column width
# palette data r,g,b,a
0,0,0,255
222,222,255,255
0,0,0,255
0,0,0,255
0,0,255,255
0,0,255,255
151,104,0,255
0,0,255,255
0,0,255,255
0,0,255,255
222,184,81,255
151,104,0,255
0,184,0,255
71,151,0,255
0,0,255,255
151,104,0,255
0,0,255,255
151,104,0,255
0,0,255,255
151,104,0,255
0,184,0,255
71,151,0,255
0,184,0,255
222,184,81,255
0,184,0,255
71,151,0,255
0,0,255,255
151,104,0,255
0,184,0,255
71,151,0,255
151,104,0,255
0,0,255,255
0,0,0,255
255,184,174,255
222,222,255,255
104,184,255,255
0,184,0,255
71,151,0,255
0,0,255,255
151,104,0,255
0,0,0,255
0,184,0,255
222,184,81,255
151,104,0,255
0,0,0,255
255,255,0,255
0,0,0,255
0,0,0,255
0,184,0,255
71,151,0,255
0,0,255,255
151,104,0,255
0,0,0,255
222,0,0,255
222,222,255,255
104,184,255,255
0,0,0,255
0,0,255,255
222,184,81,255
151,104,0,255
0,0,255,255
222,222,255,255
104,184,255,255
0,0,0,255
0,184,0,255
71,151,0,255
0,0,0,255
151,104,0,255
0,184,0,255
71,151,0,255
222,184,81,255
151,104,0,255
0,184,0,255
71,151,0,255
0,0,0,255
151,104,0,255
0,184,0,255
71,151,0,255
0,0,0,255
151,104,0,255
0,184,0,255
71,151,0,255
0,0,0,255
151,104,0,255
0,0,255,255
222,184,81,255
0,0,255,255
222,184,81,255
0,184,0,255
71,151,0,255
0,0,0,255
151,104,0,255
0,184,0,255
71,151,0,255
151,104,0,255
151,104,0,255
0,184,0,255
71,151,0,255
0,0,0,255
151,104,0,255
0,184,0,255
71,151,0,255
0,0,0,255
151,104,0,255
0,184,0,255
71,151,0,255
0,0,255,255
151,104,0,255
0,184,0,255
71,151,0,255
151,104,0,255
151,104,0,255
0,184,0,255
71,151,0,255
0,0,0,255
151,104,0,255
151,104,0,255
151,104,0,255
222,184,81,255
222,184,81,255
222,184,81,255
0,0,255,255
0,0,255,255
0,0,255,255
0,184,0,255
151,104,0,255
222,184,81,255
222,184,81,255
0,184,0,255
71,151,0,255
0,0,0,255
0,0,255,255
0,184,0,255
71,151,0,255
0,0,0,255
0,0,255,255
0,184,0,255
71,151,0,255
151,104,0,255
0,0,255,255
0,184,0,255
71,151,0,255
0,0,0,255
0,0,255,255
0,184,0,255
71,151,0,255
0,0,0,255
151,104,0,255
0,184,0,255
71,151,0,255
0,184,0,255
151,104,0,255
0,184,0,255
71,151,0,255
222,184,81,255
0,0,255,255
0,184,0,255
71,151,0,255
151,104,0,255
222,184,81,255
0,184,0,255
71,151,0,255
151,104,0,255
0,0,255,255
0,184,0,255
71,151,0,255
0,0,255,255
0,0,255,255
0,184,0,255
151,104,0,255
151,104,0,255
222,184,81,255
0,184,0,255
151,104,0,255
151,104,0,255
222,184,81,255
0,184,0,255
71,151,0,255
0,184,0,255
0,0,255,255
0,184,0,255
71,151,0,255
222,184,81,255
0,184,0,255
0,0,255,255
0,0,255,255
151,104,0,255
151,104,0,255
0,0,255,255
0,0,255,255
222,184,81,255
222,184,81,255
0,184,0,255
104,0,81,255
0,0,0,255
222,184,81,255
0,0,255,255
151,104,0,255
151,104,0,255
222,184,81,255
151,104,0,255
151,104,0,255
151,104,0,255
222,184,81,255
222,184,81,255
222,184,81,255
151,104,0,255
151,104,0,255
151,104,0,255
151,104,0,255
151,104,0,255
222,184,81,255
0,0,255,255
151,104,0,255
151,104,0,255
222,184,81,255
0,0,255,255
151,104,0,255
0,0,255,255
222,184,81,255
222,184,81,255
151,104,0,255
151,104,0,255
222,184,81,255
222,184,81,255
222,184,81,255
151,104,0,255
222,184,81,255
0,0,255,255
151,104,0,255
222,184,81,255
222,184,81,255
0,184,0,255
71,151,0,255
151,104,0,255
222,184,81,255
0,184,0,255
71,151,0,255
222,184,81,255
222,184,81,255
0,184,0,255
71,151,0,255
0,0,255,255
222,184,81,255
0,184,0,255
151,104,0,255
0,0,255,255
222,184,81,255
151,104,0,255
222,184,81,255
0,0,255,255
0,0,255,255
0,0,255,255
0,0,255,255
222,184,81,255
0,0,255,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
255,0,0,255
0,104,81,255
255,255,0,255
222,222,255,255
255,184,174,255
255,151,255,255
104,184,255,255
33,71,255,255
222,184,81,255
151,104,0,255
71,151,0,255
0,184,0,255
151,33,174,255
255,184,0,255
0,0,0,255
0,0,0,255
0,104,81,255
255,0,0,255
255,255,0,255
222,222,255,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
255,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
255,184,174,255
255,151,255,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
222,222,255,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
222,184,81,255
151,104,0,255
71,151,0,255
0,184,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
222,222,255,255
104,184,255,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
255,151,255,255
222,222,255,255
255,0,0,255
0,0,0,255
222,222,255,255
104,184,255,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
255,151,255,255
222,222,255,255
255,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
222,222,255,255
104,184,255,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
255,151,255,255
222,222,255,255
255,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
222,184,81,255
151,104,0,255
255,0,0,255
255,151,255,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
255,151,255,255
0,104,81,255
255,255,0,255
222,222,255,255
255,184,174,255
255,151,255,255
104,184,255,255
33,71,255,255
222,184,81,255
151,104,0,255
71,151,0,255
0,184,0,255
151,33,174,255
255,184,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
222,222,255,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
151,33,174,255
0,0,0,255
0,0,0,255
0,0,0,255
255,184,0,255
104,184,255,255
255,255,0,255
222,222,255,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
151,33,174,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
255,255,0,255
255,255,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
255,151,255,255
0,0,0,255
255,151,255,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
33,71,255,255
0,0,0,255
222,222,255,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
104,184,255,255
0,0,0,255
0,0,0,255
255,0,0,255
0,104,81,255
255,255,0,255
255,0,0,255
255,184,174,255
255,151,255,255
104,184,255,255
33,71,255,255
222,184,81,255
151,104,0,255
71,151,0,255
0,184,0,255
151,33,174,255
255,184,0,255
0,0,0,255
